site,lat,long,context,Areas
"Sambro, NS",44.47850922,-63.59954797,sample sites,NS
"Lunenburg, NS",44.37572954,-64.31066751,sample sites,NS
"Steep Rock, MB",51.44397,-98.80367,sample sites,MB
"The Narrows, MB",51.08352,-98.77848,sample sites,MB
BIO - Floating Marina,44.68117898,-63.61090564,field deployment,HB
Halifax Harbour - Navy Island,44.6962637,-63.61811671,implement,HB
HMCS William Hall,44.66040447,-63.58394256,implement,HB
Three-Mile Lake,44.782442,-63.621133,implement,HB
Little Port Joli,43.866371,-64.818308,implement,NS
St. Catherines River Beach,43.841319,-64.834272,implement,NS
St. Ann's Bank,45.904416,-59.607051,implement,NS
